0	1	2	3	4	5	6	7	8	9	10	11	12	x	SO4	Final Timeseries_G94C	Final Timeseries_G94D	Final Timeseries_ACME1	Final Timeseries_S362	Final Timeseries_G300	Final Timeseries_S5AS	Final Timeseries_S5A	Final Timeseries_G301	Final Timeseries_G310	Final Timeseries_G251	Final Timeseries_S6	Final Timeseries_G338
69	0	0	0	0	0	0	57.52354545	0	0	58.3855	43.35254545	0	x	137	0	0	0	0	0	0	0	0	0	34.99907143	0	0
69.999	0	0	0	0	0	0	57.52354545	0	0	58.3855	43.35254545	0	x	138	0	0	0	0	0	0	0	0	0	34.28785714	0	0
70	0	0	0	0	0	0	56.72989773	0	0	58.127	42.95952273	0	x	139	0	0	0	0	0	0	0	0	0	33.57664286	0	0
70.999	0	0	0	0	0	0	56.72989773	0	0	58.127	42.95952273	0	x	140	0	0	0	0	0	0	0	0	0	32.86542857	0	0
71	0	0	0	0	0	0	55.93625	0	0	57.8685	42.5665	0	x	141	0	0	0	0	0	0	0	0	0	32.15421429	0	0
71.999	0	0	0	0	0	0	55.93625	0	0	57.8685	42.5665	0	x	142	0	0	0	0	0	0	32.73573077	0	0	31.443	0	0
72	0	0	0	0	0	0	55.14260227	0	0	57.61	42.17347727	0	x	143	0	0	0	0	0	0	0	0	0	31.19178571	0	0
72.999	0	0	0	0	0	0	55.14260227	0	0	57.61	42.17347727	0	x	144	0	0	0	0	0	0	0	0	0	30.94057143	0	0
73	0	0	0	0	0	0	54.34895455	0	0	56.93807143	41.78045455	0	x	145	0	0	0	0	0	0	0	0	0	30.68935714	0	0
73.999	0	0	0	0	0	0	54.34895455	0	0	56.93807143	41.78045455	0	x	146	0	0	0	0	0	0	0	0	0	30.43814286	0	0
74	0	83.02	80.204	0	0	0	53.55530682	0	0	56.26614286	41.38743182	0	x	147	0	0	0	0	0	0	0	0	0	30.18692857	0	0
74.999	0	83.02	80.204	0	0	0	53.55530682	0	0	56.26614286	41.38743182	0	x	148	0	0	0	0	0	0	0	0	0	29.93571429	0	0
75	0	0	0	0	0	0	52.76165909	0	0	55.59421429	40.99440909	0	x	149	0	0	0	0	0	0	0	0	0	29.6845	0	0
75.999	0	0	0	0	0	0	52.76165909	0	0	55.59421429	40.99440909	0	x	150	0	0	0	0	0	0	31.79854396	0	0	0	0	0
76	0	0	0	0	0	0	51.96801136	0	0	54.92228571	40.60138636	0	x	151	0	0	0	0	0	0	31.6813956	0	0	0	0	0
76.999	0	0	0	0	0	0	51.96801136	0	0	54.92228571	40.60138636	0	x	152	0	0	0	0	0	0	31.56424725	0	0	0	0	0
77	0	0	0	0	0	0	51.17436364	0	0	54.25035714	40.20836364	0	x	153	0	0	0	0	0	0	0	0	0	0	0	0
77.999	0	0	0	0	0	0	51.17436364	0	0	54.25035714	40.20836364	0	x	154	0	0	0	0	0	0	0	0	0	0	0	0
78	0	0	0	0	0	0	50.38071591	0	0	53.57842857	39.81534091	0	x	155	0	83.02	80.204	0	0	0	0	0	0	28.17721429	0	0
78.999	0	0	0	0	0	0	50.38071591	0	0	53.57842857	39.81534091	0	x	156	0	83.02	80.204	0	0	0	0	0	0	0	0	0
79	0	0	0	0	0	0	49.58706818	0	0	52.9065	39.42231818	0	x	157	0	83.02	0	0	0	0	0	0	0	27.54464286	0	0
79.999	0	0	0	0	0	0	49.58706818	0	0	52.9065	39.42231818	0	x	158	0	0	0	0	0	0	0	0	0	27.16328571	34.58035714	0
80	0	0	0	0	0	0	48.79342045	0	0	52.23457143	39.02929545	0	x	159	0	0	0	0	0	0	0	0	0	26.78192857	0	0
80.999	0	0	0	0	0	0	48.79342045	0	0	52.23457143	39.02929545	0	x	160	0	0	0	0	0	0	0	0	0	26.40057143	34.60067582	0
81	0	0	0	0	0	0	47.99977273	0	0	51.56264286	38.63627273	0	x	161	0	0	0	0	0	0	0	0	0	26.01921429	0	0
81.999	0	0	0	0	0	0	47.99977273	0	0	51.56264286	38.63627273	0	x	162	0	0	0	0	0	0	0	0	0	25.63785714	0	0
82	0	0	0	0	0	0	47.206125	0	0	50.89071429	38.24325	0	x	163	0	83.02	80.204	0	0	0	0	0	0	25.2565	34.63115385	0
82.999	0	0	0	0	0	0	47.206125	0	0	50.89071429	38.24325	0	x	164	0	83.02	80.204	0	0	0	0	0	0	24.87514286	34.64131319	0
83	0	0	0	0	0	0	46.41247727	0	0	50.21878571	37.85022727	0	x	165	0	0	0	0	0	0	0	0	0	24.49378571	34.65147253	0
83.999	0	0	0	0	0	0	46.41247727	0	0	50.21878571	37.85022727	0	x	166	0	0	0	0	0	0	0	0	0	24.11242857	34.66163187	0
84	0	0	0	0	0	0	45.61882955	0	0	49.54685714	37.45720455	0	x	167	0	0	0	0	0	0	0	0	0	23.73107143	34.67179121	0
84.999	0	0	0	0	0	0	45.61882955	0	0	49.54685714	37.45720455	0	x	168	0	0	0	0	0	0	0	0	0	23.34971429	34.68195055	0
85	0	0	0	0	0	0	44.82518182	0	0	48.87492857	37.06418182	0	x	169	0	0	0	0	0	0	0	0	0	22.96835714	0	0
85.999	0	0	0	0	0	0	44.82518182	0	0	48.87492857	37.06418182	0	x	170	0	0	0	0	0	0	0	0	0	22.587	34.70226923	0
86	0	0	0	0	0	0	44.03153409	0	0	48.203	36.67115909	0	x	171	0	0	0	0	0	0	0	0	0	24.54325	34.71242857	0
86.999	0	0	0	0	0	0	44.03153409	0	0	48.203	36.67115909	0	x	172	0	83.02	80.204	0	0	0	0	0	0	26.4995	34.72258791	0
87	0	0	0	0	0	0	43.23788636	0	0	48.47778571	36.27813636	0	x	173	0	83.02	80.204	0	0	0	0	0	0	28.45575	34.73274725	0
87.999	0	0	0	0	0	0	43.23788636	0	0	48.47778571	36.27813636	0	x	174	0	83.02	80.204	0	0	0	28.98698352	0	0	30.412	34.74290659	0
